"Item","Price1","Price2","Price3","Price4","Price5","Price6","Price 7","Price8"
"Ascension crossbow",122600000,122600000,125400000,125400000,125100000,126100000,126100000,126100000
"Ascension grips",5400000,5400000,5100000,5100000,5100000,5100000,5100000,5100000
"Ascension Keystone Primu...",620800,620800,614200,614200,626500,654500,654500,654500
"Ascension Keystone Quart...",184600,184600,181700,181700,188600,198100,198100,198100
"Ascension Keystone Quint...",237200,237200,231100,231100,224900,222100,222100,222100
"Ascension Keystone Secun...",322800,322800,318800,318800,324200,340400,340400,340400
"Ascension Keystone Sextu...",202500,202500,202500,202500,200400,210200,210200,210200
"Ascension Keystone Terti...",194600,194600,188800,188800,190700,200300,200300,200300
"Ascension shard",299,299,290,290,276,262,262,262
"Asciatops (unchecked)",2400000,2400000,2400000,2400000,2400000,2400000,2400000,2400000
"Asciatops acta (unchecke...",1088,1088,1088,1088,1088,1088,1088,1088
"Asciatops aurum (uncheck...",1039,1039,1039,1039,1039,1039,1039,1039
"Asciatops meat",4328,4328,4328,4328,4328,4328,4328,4328
"Asgarnian ale",3782,3782,3782,3782,3782,3782,3782,3782
"Asgarnian ale (1)",3704,3704,3704,3704,3704,3704,3704,3704
"Asgarnian ale (2)",6238,6238,6238,6238,6238,6238,6238,6238
"Asgarnian ale (3)",9259,9259,9259,9259,9259,9259,9259,9259
"Asgarnian ale (4)",11000,11000,11000,11000,11000,11000,11000,11000
"Asgarnian ale (m)",1094,1094,1094,1094,1094,1094,1094,1094
"Asgarnian ale (m1)",1761,1761,1761,1761,1761,1761,1761,1761
"Asgarnian ale (m2)",3307,3307,3307,3307,3307,3307,3307,3307
"Asgarnian ale (m3)",5066,5066,5066,5066,5066,5066,5066,5066
"Asgarnian ale (m4)",7738,7738,7738,7738,7738,7738,7738,7738
"Asgarnian hops",748,748,748,748,748,765,765,765
"Asgarnian seed",105,105,105,105,106,106,106,106
"Ashes",102,101,104,104,104,102,102,102
"Assassin walk override t...",921300000,921300000,921300000,921300000,921300000,921300000,921300000,921300000
"Astral rune",391,385,385,385,391,400,400,400
"Astronomy book",1414,1414,1414,1414,1414,1414,1414,1414
"Asyn remains",1555,1555,1555,1555,1555,1555,1555,1555
"Attack flask (6)",6667,6667,6667,6667,6667,6667,6667,6667
"Attack mix (1)",26,26,26,26,26,26,26,26
"Attack mix (2)",53,53,53,53,53,53,53,53
"Attack potion (1)",261,261,261,261,261,261,261,261
"Attack potion (2)",386,386,386,386,386,386,386,386
"Attack potion (3)",311,311,325,325,334,334,334,334
"Attack potion (4)",640,640,619,619,619,619,619,619
"Augmentation dissolver",11400,11400,12100,12100,12100,12600,12600,12600
"Augmentor",410100,407800,404800,404800,404200,404800,404800,404800
"Avantoe incense sticks",3084,3084,3084,3084,3084,3084,3084,3084
"Avantoe potion (unf)",2240,2248,2248,2248,2248,2155,2155,2155
"Avantoe seed",542,542,552,552,568,575,575,575
"Avocado",5737,5737,5737,5737,5737,5737,5737,5737
"Avocado seed",276,276,266,266,266,266,266,266
"Axeman's folly",688,688,688,688,688,688,688,688
"Axeman's folly (1)",3932,3932,3932,3932,3932,3932,3932,3932
"Axeman's folly (2)",6181,6181,6181,6181,6181,6181,6181,6181
"Axeman's folly (3)",9143,9143,9143,9143,9143,9143,9143,9143
"Axeman's folly (4)",4427,4427,4427,4427,4427,4427,4427,4427
"Axeman's folly (m)",49400,49400,49400,49400,49400,49400,49400,49400
"Axeman's folly (m1)",17500,17500,17500,17500,17500,17500,17500,17500
"Axeman's folly (m2)",28000,28000,28000,28000,28000,28000,28000,28000
"Axeman's folly (m3)",43500,43500,43500,43500,43500,43500,43500,43500
"Axeman's folly (m4)",49100,49100,49100,49100,49100,49100,49100,49100
"Azure chinchompa (unchec...",119200,119200,122500,122500,122500,122500,122500,122500
"Azure skillchompa",658,658,654,654,664,664,664,664
"Baby dragon bones",1721,1721,1707,1707,1740,1705,1705,1705
"Baby impling jar",869,869,869,869,869,869,869,869
"Backstab cape",1900000,1900000,2e+06,2e+06,2e+06,2e+06,2e+06,2e+06
"Bacon",1957,1957,2006,2006,2006,1908,1908,1908
"Bacon cheesecake",560,560,560,560,560,560,560,560
"Bacon heap",483,483,483,483,483,483,483,483
"Bacon mound",1100,1100,1100,1100,1100,1100,1100,1100
"Bacon pile",237,237,237,237,237,237,237,237
"Bacon stack",159,159,159,159,159,159,159,159
"Bag of clues",658500,658500,688700,688700,688700,688700,688700,688700
"Bag of salt",12,12,12,12,12,12,12,12
"Bagged plant 1",2370,2370,2436,2436,2436,2436,2436,2436
"Bagrada nemus (unchecked...",1128,1128,1128,1128,1128,1128,1128,1128
"Bagrada purpura (uncheck...",1091,1091,1091,1091,1091,1091,1091,1091
"Bagrada rex (unchecked)",3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000
"Bagrada rex meat",4401,4401,4401,4401,4401,4401,4401,4401
"Baguette",681,681,681,681,690,690,690,690
"Baked potato",254,254,254,254,254,254,254,254
"Bakriminel bolts",2338,2338,2408,2408,2471,2484,2484,2484
"Ball of black wool",69,69,69,69,69,69,69,69
"Ball of wool",1047,1047,970,970,936,873,873,873
"Banana",329,326,322,322,317,302,302,302
"Banana boat mount token",729400,729400,729400,729400,729400,729400,729400,729400
"Banana tree seed",248,253,256,256,256,258,258,258
"Bananas (5)",2012,2012,2012,2012,2012,2012,2012,2012
"Bandit Camp Teleport",736,736,762,762,756,757,757,757
"Bandit's brew",3353,3353,3353,3353,3353,3353,3353,3353
"Bandos armour set",6700000,6700000,7e+06,7e+06,7e+06,7300000,7300000,7300000
"Bandos boots",373600,373600,371900,371900,371300,372700,372700,372700
"Bandos chestplate",3500000,3500000,3700000,3700000,3700000,3900000,3900000,3900000
"Bandos chestplate shard",22300,22300,22300,22300,22300,22300,22300,22300
"Bandos cloak",778800,778800,816400,816400,856900,856900,856900,856900
"Bandos crozier",762800,762800,800300,800300,800300,839700,839700,839700
"Bandos gloves",417700,417700,419100,419100,417900,421000,421000,421000
"Bandos godsword",895800,895800,895800,895800,929700,929700,929700,929700
"Bandos helmet",242800,242800,240200,240200,239100,241400,241400,241400
"Bandos helmet shard",4909,4909,4909,4909,4909,4909,4909,4909
"Bandos hilt",326000,326000,326000,326000,326000,326000,326000,326000
"Bandos hilt shard",2490,2490,2490,2490,2490,2490,2490,2490
"Bandos mitre",742900,742900,771400,771400,771400,809500,809500,809500
"Bandos page 1",69100,69100,68700,68700,67900,66900,66900,66900
"Bandos page 2",61900,61900,62100,62100,60700,58600,58600,58600
"Bandos page 3",60600,60600,58700,58700,58700,58100,58100,58100
"Bandos page 4",61000,61000,59800,59800,59800,58800,58800,58800
"Bandos robe legs",630400,630400,658200,658200,658200,658200,658200,658200
"Bandos robe top",614900,614900,636700,636700,636700,636700,636700,636700
"Bandos stole",751100,751100,788300,788300,827200,827200,827200,827200
"Bandos tassets",1600000,1600000,1600000,1600000,1600000,1700000,1700000,1700000
"Bandos tassets shard",9649,9649,9649,9649,9649,9649,9649,9649
"Bandos warshield",141100,141100,138000,138000,138000,138600,138600,138600
"Bandosian bantam hen (un...",4269,4269,4269,4269,4269,4269,4269,4269
"Bane 2h sword",53200,53200,53200,53200,53200,53200,53200,53200
"Bane 2h sword + 1",56500,56500,56500,56500,56500,58700,58700,58700
"Bane 2h sword + 2",113100,113100,113100,113100,113100,113100,113100,113100
"Bane 2h sword + 3",253400,253400,253400,253400,253400,253400,253400,253400
"Bane 2h sword + 4",696000,687500,687500,687500,687500,687500,687500,687500
"Bane armoured boots",3802,3802,3802,3802,3802,3802,3802,3802
"Bane armoured boots + 1",56700,56700,56700,56700,56700,56700,56700,56700
"Bane armoured boots + 2",83800,83800,83800,83800,83800,83800,83800,83800
"Bane armoured boots + 3",391700,391700,391700,391700,391700,391700,391700,391700
"Bane armoured boots + 4",152700,152700,151400,151400,151400,151400,151400,151400
"Bane bar",11500,11500,11600,11600,11200,10600,10600,10600
"Bane full helm",8913,8913,8913,8913,8913,8913,8913,8913
"Bane full helm + 1",25300,25300,25300,25300,25300,25300,25300,25300
"Bane full helm + 2",99500,99500,99500,99500,99500,99500,99500,99500
"Bane full helm + 3",296100,296100,296100,296100,296100,296100,296100,296100
"Bane full helm + 4",345500,345500,345500,345500,337800,337800,337800,337800
"Bane gauntlets",3940,3940,3940,3940,3940,3799,3799,3799
"Bane gauntlets + 1",24600,24600,24600,24600,24600,24600,24600,24600
"Bane gauntlets + 2",52700,52700,52700,52700,52700,52700,52700,52700
"Bane gauntlets + 3",223100,223100,223100,223100,223100,223100,223100,223100
"Bane gauntlets + 4",151800,151800,151800,151800,151800,151800,151800,151800
"Bane longsword",31300,31300,31300,31300,31300,31300,31300,31300
"Bane longsword + 1",28400,28400,28400,28400,28400,28400,28400,28400
"Bane longsword + 2",258000,258000,258000,258000,258000,258000,258000,258000
"Bane longsword + 3",113500,113500,118200,118200,118200,118200,118200,118200
"Bane longsword + 4",347400,347400,347400,347400,347400,347400,347400,347400
"Bane mattock",20800,20800,20800,20800,21100,21100,21100,21100
"Bane off hand longsword",35300,35300,35300,35300,35300,35300,35300,35300
"Bane off hand longsword ...",175000,175000,143700,143700,143700,143700,143700,143700
"Bane ore box",114700,114700,114700,114700,114700,114400,114400,114400
"Bane pickaxe",28900,28900,28900,28900,29500,29500,29500,29500
"Bane pickaxe + 1",74800,74800,74800,74800,74800,74800,74800,74800
"Bane pickaxe + 2",61500,61500,61500,61500,61500,61500,61500,61500
"Bane pickaxe + 3",143500,143500,143500,143500,143500,143500,143500,143500
"Bane pickaxe + 4",361600,361600,360300,360300,360300,357600,357600,357600
"Bane platebody",42300,42300,42300,42300,40900,40900,40900,40900
"Bane platebody + 1",110400,110400,110400,110400,110400,110400,110400,110400
"Bane platebody + 2",223800,223800,223800,223800,223800,223800,223800,223800
"Bane platebody + 3",535000,535000,535000,535000,513700,513700,513700,513700
"Bane platebody + 4",648700,648700,622900,622900,622900,600300,600300,600300
"Bane platelegs",40300,40300,40300,40300,40300,40300,40300,40300
"Bane platelegs + 1",44300,44300,44300,44300,44300,44300,44300,44300
"Bane platelegs + 2",592000,592000,592000,592000,592000,592000,592000,592000
"Bane platelegs + 3",312700,312700,312700,312700,312700,312700,312700,312700
"Bane platelegs + 4",478200,478200,489500,489500,489500,489500,489500,489500
"Bane square shield",36400,36400,36400,36400,35700,35700,35700,35700
"Bane square shield + 1",244800,244800,244800,244800,244800,244800,244800,244800
"Bane square shield + 2",493200,493200,493200,493200,493200,493200,493200,493200
"Bane square shield + 3",107200,107200,107200,107200,107200,107200,107200,107200
"Bane square shield + 4",253700,253700,253700,253700,253700,253700,253700,253700
"Banite armour set",239500,239500,239500,239500,239500,239500,239500,239500
"Banite armour set + 1",1600000,1600000,1600000,1600000,1600000,1600000,1600000,1600000
"Banite armour set + 2",3200000,3200000,3200000,3200000,3200000,3200000,3200000,3200000
"Banite armour set + 3",594300,594300,594300,594300,594300,594300,594300,594300
"Banite armour set + 4",2400000,2400000,2500000,2500000,2500000,2500000,2500000,2500000
"Banite ore",5717,5565,5737,5737,5831,5860,5860,5860
"Banite stone spirit",3932,3781,4094,4094,4275,4659,4659,4659
"Barb bolttips",70,70,70,70,70,70,70,70
"Barb-tail harpoon",790,790,763,763,763,741,741,741
"Barbarian assault ticket...",451500,451500,1255,1255,1255,1255,1255,1255
"Barbed bolts",72,72,72,72,72,72,72,72
"Barberry seed",99,99,101,101,101,103,103,103
"Bark",1536,1536,1536,1536,1536,1554,1554,1554
"Barker toad pouch",1027,1027,1027,1027,1027,1027,1027,1027
"Barley",416,416,416,416,416,416,416,416
"Barley malt",405,405,396,396,396,396,396,396
"Barley seed",106,106,104,104,104,107,107,107
"Barrel",626,626,626,626,626,626,626,626
"Barrel of monkeys",319,319,319,319,333,333,333,333
"Barrows - Ahrim's set",8900000,8900000,8900000,8900000,9100000,9100000,9100000,9100000
"Barrows - Akrisae's set",3100000,3100000,3100000,3100000,3100000,3100000,3100000,3100000
"Barrows - Dharok's set",3100000,3100000,3100000,3100000,3100000,3100000,3100000,3100000
"Barrows - Guthan's set",4100000,4100000,4100000,4100000,4100000,4100000,4100000,4100000
"Barrows - Karil's set",8700000,8700000,8400000,8400000,8400000,8400000,8400000,8400000
"Barrows - Linza's set",24200000,24200000,24200000,24200000,24200000,24200000,24200000,24200000
"Barrows - Torag's set",3300000,3300000,3300000,3300000,3300000,3300000,3300000,3300000
"Barrows - Verac's set",3100000,3100000,3100000,3100000,3100000,3100000,3100000,3100000
"Barrows amulet",6401,6401,6666,6666,6666,6983,6983,6983
"Barrows dye",167100000,167100000,163300000,163300000,163300000,163300000,163300000,163300000
"Barrows totem",1326,1326,1317,1317,1261,1207,1207,1207
"Basilisk boots",2919,2919,2919,2919,2919,2919,2919,2919
"Basket",5,5,4,4,4,4,4,4
"Bass",378,378,371,371,371,357,357,357
"Bat bones",1187,1187,1187,1187,1173,1173,1173,1173
"Bat mask",648000,648000,679100,679100,679100,679100,679100,679100
"Bat staff",716800,716800,750400,750400,750400,787500,787500,787500
"Battle hood 0",475000,475000,475000,475000,475000,475000,475000,475000
"Battle robe bottom 0",3e+06,3e+06,3e+06,3e+06,3e+06,3e+06,3e+06,3e+06
"Battle robe top 0",4900000,4900000,4900000,4900000,4900000,4900000,4900000,4900000
"Battlestaff",2948,2906,2808,2808,2827,2871,2871,2871
"Batwing",3350,3350,3323,3323,3323,3371,3371,3371
"Batwing book",2532,2532,2532,2532,2532,2534,2534,2534
"Batwing boots",1025,1025,1025,1025,1025,998,998,998
"Batwing gloves",1131,1131,1131,1131,1099,1099,1099,1099
"Batwing hood",1878,1878,1878,1878,1874,1874,1874,1874
"Batwing legs",2196,2196,2187,2187,2187,2131,2131,2131
"Batwing shield",2911,2911,2889,2889,2889,2889,2889,2889
"Batwing torso",2727,2755,2736,2736,2736,2765,2765,2765
"Batwing wand",3075,3075,3111,3111,3111,3137,3137,3137
"Beach apron token",7876,7876,8735,8735,10600,12700,12700,12700
"Beach armour override to...",9400000,9400000,9400000,9400000,9400000,9400000,9400000,9400000
"Beach dinosaur (unchecke...",1229,1229,1229,1229,1229,1229,1229,1229
"Beachball orb token",4300000,4300000,4300000,4300000,4300000,4300000,4300000,4300000
"Beak snot",7007,7007,6846,6846,6503,6109,6109,6109
"Bear fur",1018,1018,1034,1034,1032,1054,1054,1054
"Beaver pouch",1295,1295,1316,1316,1316,1324,1324,1324
"Beer",788,788,780,780,763,740,740,740
"Beer barrel",6,6,6,6,6,6,6,6
"Beer glass",267,277,277,277,277,284,284,284
"Beer goggles token",94200,94200,94200,94200,94200,94200,94200,94200
"Beetle bits",666,666,666,666,666,666,666,666
"Beginner wand",123300,123300,123300,123300,123300,123300,123300,123300
"Belladonna seed",763,763,734,734,734,716,716,716
"Beltfish",207,207,212,212,212,216,216,216
"Berserker helm",45100,45100,44000,44000,44000,44000,44000,44000
"Berserker necklace",454100,454100,454100,454100,454100,454100,454100,454100
"Berserker ring",205000,213800,222900,222900,222900,232200,232200,232200
"Berserker ring shard",3380,3380,3380,3380,3380,3380,3380,3380
"Big bones",225,220,210,210,208,207,207,207
"Big fishing net",154,154,161,161,161,161,161,161
"Binding contract (abyssa...",65600,65600,65600,65600,65600,65600,65600,65600
"Binding contract (blood ...",107300,107300,107300,107300,102200,102200,102200,102200
"Binding contract (gargoy...",64000,64000,64000,64000,64000,64000,64000,64000
"Binding contract (hellho...",85300,85300,85300,85300,85300,85300,85300,85300
"Binding contract (kal'ge...",76700,76700,73300,73300,73300,73300,73300,73300
"Binding contract (ripper...",97900,98600,99000,99000,99500,100100,100100,100100
"Binding contract (waterf...",42300,42300,43400,43400,45600,49300,49300,49300
"Binding necklace",2524,2524,2524,2524,2422,2422,2422,2422
"Bird snare",14,15,15,15,15,15,15,15
"Biscuit dough",20,20,21,21,21,21,21,21
"Biscuits",313,313,313,313,313,327,327,327
"Bittercap mushroom",8321,8327,8003,8003,8003,7838,7838,7838
"Bittercap mushroom spore...",2021,2021,1992,1992,1992,1915,1915,1915
"Black 2h crossbow",10000,10000,10400,10400,10400,10400,10400,10400
"Black 2h sword",3880,3880,3851,3851,4040,4195,4195,4195
"Black armour set (lg)",30200,30200,30500,30500,30500,30500,30500,30500
"Black armour set (sk)",29100,29100,29100,29100,29100,29100,29100,29100
"Black battleaxe",7339,7339,7339,7339,7339,7339,7339,7339
"Black bead",1140,1140,1140,1140,1110,1110,1110,1110
"Black beret",748100,748100,784900,784900,784900,784900,784900,784900
"Black boater",831500,831500,871800,871800,914400,914400,914400,914400
"Black bolts",28,28,27,27,25,23,23,23
"Black boots",1668,1668,1613,1613,1613,1613,1613,1613
"Black brutal",91,91,91,91,91,91,91,91
"Black cane",736200,736200,772200,772200,772200,772200,772200,772200
"Black cavalier",798000,798000,837900,837900,878700,878700,878700,878700
"Black chainbody",3356,3356,3356,3356,3356,3356,3356,3356
"Black claw",3715,3715,3715,3715,3715,3715,3715,3715
"Black crossbow",699300,699300,723800,723800,758000,758000,758000,758000
"Black dagger",4351,4351,4351,4351,4351,4351,4351,4351
"Black dart",1503,1503,1503,1503,1503,1503,1503,1503
"Black dragon egg (unchec...",269100,274200,267100,267100,265700,262300,262300,262300
"Black dragon leather",4071,4020,3810,3810,3785,3815,3815,3815
"Black dragon mask",895700,895700,939600,939600,939600,939600,939600,939600
"Black dragonhide",3738,3627,3476,3476,3535,3596,3596,3596
"Black dragonhide body",7113,7113,7153,7153,7302,7278,7278,7278
"Black dragonhide boots",1694,1728,1728,1728,1728,1714,1714,1714
"Black dragonhide chaps",5218,5218,4972,4972,4972,4749,4749,4749
"Black dragonhide coif",2379,2379,2276,2276,2276,2253,2253,2253
"Black dragonhide set",28600,28600,28700,28700,28700,28700,28700,28700
"Black dragonhide shield",9423,9423,9401,9401,9401,9426,9426,9426
"Black dragonhide vambrac...",1804,1786,1786,1786,1786,1804,1804,1804
"Black elegant legs",678900,678900,709200,709200,709200,709200,709200,709200
"Black elegant shirt",785800,785800,823700,823700,823700,823700,823700,823700
"Black ewe (unchecked)",17800,17800,17800,17800,17800,17800,17800,17800
"Black flowers",4107,4107,4107,4107,4107,4107,4107,4107
"Black full helm",1684,1684,1717,1717,1717,1803,1803,1803
"Black full helm (g)",9697,9697,9490,9490,9490,9490,9490,9490
